chr	pos
UNC872147	1	69.081126
UNC010138697	1	69.114794
UNC873228	1	69.169495
JAX00004950	1	69.19964
UNC874332	1	69.243576
UNC875089	1	69.302182
UNC908695	1	71.857285
UNC909629	1	71.915665
UNC911464	1	72.028819
UNC913244	1	72.146814
JAX00254642	1	72.197818
UNC914302	1	72.198622
UNC916311	1	72.329214
UNC916875	1	72.372465
UNC917820	1	72.428605
UNC919161	1	72.517035
UNC919951	1	72.571502
UNC922022	1	72.711667
backupUNC010570475	1	72.830096
UNC925655	1	72.938415
UNC927407	1	73.047294
JAX00254862	1	73.114671
UNC928503	1	73.139038
UNC929321	1	73.199805
UNC954009	1	75.32759
UNC956412	1	75.527656
JAX00255494	1	75.558677
JAX00188776	1	75.585891
UNC957798	1	75.619018
UNC959254	1	75.717228
JAX00255569	1	75.769248
UNC960936	1	75.820434
JAX00005446	1	75.873851
JAX00005452	1	75.93571
UNC963161	1	75.998218
UNC963609	1	76.029963
UNC964922	1	76.148253
UNC965262	1	76.180179
UNC965877	1	76.223747
JAX00255712	1	76.263454
UNC967284	1	76.345671
UNC969523	1	76.523368
backupJAX00005508	1	76.703258
UNC974667	1	76.944184
UNC975186	1	76.976889
UNC976977	1	77.098773
UNC010577197	1	77.099961
UNC978456	1	77.228809
JAX00256003	1	77.264668
UNC979119	1	77.279249
UNC010577570	1	77.303061
UNC980518	1	77.395075
UNC981669	1	77.502588
UNC982299	1	77.562439
UNC010148938	1	77.710341
JAX00256137	1	77.728931
UNC985120	1	77.762761
UNC987429	1	77.984909
UNC987684	1	78.017567
JAX00256217	1	78.059764
JAX00256220	1	78.073081
UNC988578	1	78.08332
UNC989515	1	78.173681
UNC1122857	1	90.18594
UNC1124747	1	90.312318
UNC1138338	1	91.097803
backupUNC010175313	1	91.10076
UNC1138928	1	91.127867
UNC1140398	1	91.241597
UNC1140623	1	91.267542
UNC1141364	1	91.324228
backupUNC010176060	1	91.347566
UNC1141823	1	91.350307
UNC1142250	1	91.383704
UNC1142402	1	91.40222
UNC1142661	1	91.429817
JAX00006594	1	91.437389
B6_01-093593614-S	1	91.697037
UNC1146678	1	91.780845
UNC1147271	1	91.826519
UNC1147514	1	91.840565
UNC1151040	1	92.194782
UNC1152451	1	92.29523
backupUNC010586755	1	92.323946
UNC1152781	1	92.327261
UNC1153431	1	92.373273
UNC1153974	1	92.412095
UNC1154868	1	92.484436
UNC1155880	1	92.533763
UNC1156132	1	92.54674
UNC1159686	1	92.828849
UNC1159933	1	92.850256
UNC1162577	1	93.077334
JAX00259498	1	93.095115
UNC1162828	1	93.098762
UNC1163094	1	93.121666
UNC1163443	1	93.146022
JAX00259525	1	93.179924
UNC1165119	1	93.292072
UNC1165457	1	93.344364
UNC010177125	1	93.36149
UNC1166518	1	93.481145
UNC010586869	1	93.673229
JAX00006766	1	93.742419
JAX00006769	1	93.79044
UNC1169961	1	93.828164
UNC1253290	1	100.297811
UNC1257137	1	100.522606
UNC1257988	1	100.590916
UNC1260464	1	100.78972
UNC010195425	1	100.927997
UNC1265791	1	101.270812
UNC1276993	1	102.042988
UNC1294443	1	103.054747
UNC010200461	1	103.123529
UNC1297520	1	103.199283
UNC1309269	1	103.778305
JAX00007592	1	104.803517
UNC010203492	1	104.886216
UNC1323321	1	104.940902
UNC1327507	1	105.260632
UNC1332548	1	105.650693
UNC010893064	1	105.670227
UNC1333161	1	105.71963
UNC1336924	1	105.989561
UNC1339209	1	106.189355
backupUNC010206009	1	106.467053
UNC1342769	1	106.545951
UNC1344572	1	106.679267
JAX00261951	1	106.74883
UNC1346444	1	106.835365
UNC1346796	1	106.878129
UNC1347734	1	106.942683
backupUNC010591240	1	107.049186
UNC1350911	1	107.287683
UNC1351738	1	107.361906
UNC1355837	1	107.606544
JAX00262204	1	107.950166
UNC011675366	1	108.005534
JAX00262222	1	108.045264
UNC1361758	1	108.057583
UNC1363863	1	108.21247
backupUNC010210288	1	108.346589
UNC1366174	1	108.384025
UNC1369947	1	108.647397
UNC1377940	1	109.143788
UNC1378528	1	109.174451
UNC1379443	1	109.228102
UNC1379993	1	109.287954
UNC1381625	1	109.399188
UNC1383332	1	109.512395
UNC1384200	1	109.575077
backuprs50592964	1	109.946339
UNC1391068	1	110.079486
UNC1392467	1	110.21342
UNC1393775	1	110.338668
JAX00262675	1	110.842326
JAX00008061	1	111.029605
UNC1402336	1	111.072005
UNC1407130	1	111.45792
UNC1416733	1	111.994732
UNC010223906	1	112.160786
UNC1434652	1	113.006005
UNC1446279	1	113.637635
UNC1452966	1	114.016746
UNC1454635	1	114.146312
JAX00263280	1	114.216745
UNC1462305	1	114.647471
JAX00008386	1	115.407671
UNC1478474	1	115.691891
backupUNC010228438	1	115.892001
UNC1483056	1	115.938445
UNC1488201	1	116.288608
UNC010594638	1	116.34717
UNC1489878	1	116.391798
UNC1502088	1	117.117484
UNC1510005	1	117.650287
UNC1515066	1	118.612472
backupUNC010236642	1	118.715542
JAX00264021	1	118.852804
UNC1518702	1	118.854681
UNC1521058	1	119.041297
UNC1521453	1	119.080143
B6_01-121012874-S	1	119.116297
JAX00008647	1	119.120914
UNC1522291	1	119.15883
JAX00008666	1	119.370763
UNC1524993	1	119.406284
UNC1529781	1	119.975826
JAX00008712	1	119.978556
UNC1530011	1	119.995284
UNC1530571	1	120.039168
UNC1532108	1	120.147866
UNC1532665	1	120.186355
UNC1533406	1	120.227474
UNC1533578	1	120.241645
UNC1534707	1	120.320932
UNC1538671	1	120.592842
UNC1538944	1	120.622608
UNC1539642	1	120.668177
UNC1540440	1	120.728822
UNC1540789	1	120.755617
UNC1541798	1	120.828146
UNC1542793	1	120.894306
UNC1543517	1	120.953042
JAX00264502	1	121.015022
UNC1545055	1	121.063201
UNC1546653	1	121.178128
UNC1548133	1	121.287695
UNC1548528	1	121.315223
UNC1549118	1	121.355024
UNC1551053	1	121.471061
UNC1551705	1	121.514604
JAX00008828	1	121.52663
UNC1552601	1	121.570158
UNC010243790	1	121.591505
UNC1553066	1	121.605203
UNC1553663	1	121.652549
UNC1554218	1	121.69997
UNC1555537	1	121.797151
backupUNC010244211	1	121.803874
JAX00264770	1	121.826817
UNC1556610	1	121.87429
UNC1557382	1	121.938408
UNC1557877	1	121.976493
UNC1560429	1	122.241452
UNC1560906	1	122.272348
UNC1561385	1	122.312207
UNC1561530	1	122.3356
UNC1564999	1	122.595089
JAX00264927	1	122.669834
JAX00264954	1	122.763758
UNC1575520	1	123.258892
backupUNC010248154	1	123.301336
JAX00265160	1	123.480894
JAX00008984	1	123.607047
JAX00265198	1	123.607687
UNC1581474	1	123.618112
UNC1586062	1	123.903301
UNC011787714	1	124.403371
UNC1593484	1	124.548738
UNC1597584	1	124.787987
UNC1598080	1	124.818931
UNC1600173	1	124.981844
UNC1602949	1	125.148106
UNC1604247	1	125.249904
UNC1604694	1	125.279903
UNC1605568	1	125.334698
UNC1608009	1	125.527931
JAX00265687	1	125.667681
UNC010257353	1	125.823267
UNC1614289	1	125.916856
UNC1617184	1	126.13623
UNC1617872	1	126.180899
UNC1619015	1	126.255654
UNC1622588	1	126.498051
UNC1623375	1	126.537246
UNC1624111	1	126.583682
JAX00265943	1	126.626536
UNC1625548	1	126.673001
UNC1625943	1	126.708289
JAX00009228	1	126.874126
UNC1627950	1	126.878909
UNC1628428	1	126.92614
UNC010261606	1	127.006951
UNC1629886	1	127.043582
JAX00009255	1	127.226571
UNC1631899	1	127.234771
UNC1633418	1	127.353386
UNC1634030	1	127.387034
UNC1635087	1	127.454777
JAX00266150	1	127.45971
UNC1635382	1	127.477857
JAX00009281	1	127.556255
UNC1638665	1	127.683358
UNC1640264	1	127.829527
UNC010460280	1	128.618944
UNC1648713	1	128.627956
UNC1649686	1	128.683946
UNC1651111	1	128.786108
UNC1651375	1	128.801961
JAX00009529	1	130.863937
UNC1675521	1	130.878269
UNC1675886	1	130.917309
UNC1677482	1	131.062932
UNC1678382	1	131.137576
UNC1679056	1	131.204623
UNC1679857	1	131.260357
JAX00266918	1	131.298159
UNC1680373	1	131.309289
UNC1680580	1	131.33055
UNC1681979	1	131.497494
UNC1682327	1	131.541317
JAX00009579	1	131.545206
JAX00009591	1	131.710587
UNC010270413	1	131.737074
UNC1685429	1	131.752423
UNC1685599	1	131.76484
UNC1686272	1	131.819995
UNC1688945	1	132.035118
UNC1689424	1	132.070085
UNC1692771	1	132.295971
UNC1694738	1	132.441996
UNC1700014	1	132.829321
JAX00009678	1	132.863012
UNC1700691	1	132.88287
UNC1701557	1	132.956152
UNC1702816	1	133.052274
UNC1703518	1	133.101658
UNC1705122	1	133.246375
UNC1708765	1	133.540405
UNC1709861	1	133.637955
UNC1710042	1	133.669056
UNC010274154	1	133.740276
UNC1710615	1	133.744246
CEAJAX00009745	1	133.751899
UNC1713106	1	133.927182
UNC1714772	1	134.013731
JAX00009765	1	134.031098
UNC1715756	1	134.070026
UNC1717832	1	134.213279
UNC1718972	1	134.295168
UNC1720627	1	134.45688
UNC1721079	1	134.492921
UNC010275555	1	134.51101
UNC1724338	1	134.738821
UNC1724774	1	134.783001
UNC1725243	1	134.831482
UNC1726338	1	134.927619
UNC010278802	1	134.972897
UNC1727060	1	134.982002
UNC1728467	1	135.087533
JAX00268041	1	135.17217
JAX00009853	1	135.198217
UNC1731041	1	135.276615
UNC1732940	1	135.40007
UNC1733690	1	135.46405
UNC1734749	1	135.533548
UNC010282954	1	135.542075
UNC1735400	1	135.572012
UNC1737217	1	135.689183
JAX00268221	1	135.769394
UNC010285573	1	135.810178
UNC1739568	1	135.816613
UNC1765149	1	137.593664
UNC1765809	1	137.649043
UNC1766157	1	137.688764
UNC1767179	1	137.780191
JAX00010060	1	137.973333
UNC1770327	1	138.00689
UNC1773103	1	138.237662
UNC1774662	1	138.368468
backupUNC010611519	1	138.382969
UNC1775576	1	138.458274
JAX00010099	1	138.469911
UNC1777709	1	138.611716
UNC1778501	1	138.676475
JAX00010117	1	138.735328
JAX00010121	1	138.78033
UNC1780377	1	138.810158
UNC1782025	1	138.956094
UNC010291816	1	138.96776
UNC1783074	1	139.09675
UNC1784366	1	139.22025
JAX00010155	1	139.230029
UNC1787544	1	139.457636
JAX00269145	1	139.458156
backupJAX00269153	1	139.47883
UNC1788773	1	139.555391
UNC1789955	1	139.636255
UNC1793565	1	140.102656
UNC010292027	1	140.294459
UNC1795522	1	140.384173
UNC1797532	1	140.531882
UNC1803006	1	140.900048
UNC1804293	1	140.992886
UNC010617990	1	141.136539
UNC1808116	1	141.22364
UNC010292970	1	141.488257
UNC1812244	1	141.497672
JAX00269487	1	141.976821
UNC1821880	1	142.00915
UNC1823389	1	142.140565
UNC010295757	1	142.222344
JAX00010381	1	142.260782
UNC1825459	1	142.26625
UNC1826224	1	142.341243
UNC1826779	1	142.389498
UNC1828946	1	142.58051
UNC1832863	1	142.866009
UNC1834559	1	143.017175
UNC010297799	1	143.149795
UNC1835855	1	143.172018
UNC1837401	1	143.300804
UNC1839008	1	143.549476
UNC1839045	1	143.551973
UNC1841967	1	143.810159
UNC1843688	1	143.959631
UNC1845127	1	144.093165
UNC1849492	1	144.495093
UNC010463165	1	144.549292
UNC010300060	1	144.629784
JAX00270073	1	144.894983
UNC1854486	1	144.902324
JAX00010581	1	144.989305
JAX00010611	1	145.37678
UNC1861016	1	145.484313
UNC_rs32124917	1	146.576544
UNC1883987	1	147.08021
UNC1886404	1	147.258865
backupUNC010623723	1	147.4289
UNC1890675	1	147.630747
UNC1905607	1	148.763619
UNC010313174	1	149.553681
UNC1917999	1	149.617805
UNC1921260	1	149.797787
UNC1928645	1	150.315172
UNC1936512	1	150.871972
UNC1938399	1	151.000998
UNC1942621	1	151.303962
UNC1943175	1	151.338817
UNC1944257	1	151.432463
UNC1944789	1	151.465441
UNC1946205	1	151.561348
UNC1946548	1	151.583055
UNC1947153	1	151.619999
JAX00011099	1	151.906273
UNC1951142	1	151.913328
UNC1951925	1	151.972624
UNC1953873	1	152.103329
UNC1955304	1	152.190106
JAX00011124	1	152.235064
UNC1956739	1	152.281075
JAX00011136	1	152.377072
UNC010465120	1	154.868088
UNC010629297	1	155.192594
UNC1994761	1	155.192929
UNC2000451	1	155.743145
UNC2001336	1	155.809944
JAX00272416	1	155.834122
UNC2001814	1	155.842288
backupUNC010629680	1	155.879951
UNC2002250	1	155.884778
UNC2003065	1	155.937766
JAX00272462	1	155.985673
UNC2003908	1	156.02716
UNC2006445	1	156.238
UNC010321756	1	156.24831
UNC2006963	1	156.265265
JAX00272539	1	156.298233
JAX00011426	1	156.301208
UNC2007652	1	156.311586
UNC2009084	1	156.437601
UNC2010743	1	156.580693
UNC2012484	1	156.735519
UNC2014242	1	156.863055
UNC2014798	1	156.897595
JAX00272673	1	156.97226
UNC2018109	1	157.093188
UNC2018619	1	157.132066
JAX00272708	1	157.145354
UNC2020818	1	157.37979
UNC2022438	1	157.508533
UNC2024255	1	157.652385
UNC2025451	1	157.750187
UNC2027205	1	157.890939
UNC2029189	1	158.066298
UNC2030429	1	158.156491
UNC2030766	1	158.185613
UNC2032160	1	158.258737
UNC2032620	1	158.295053
JAX00272997	1	158.315174
UNC010836178	1	158.366275
UNC2034268	1	158.45045
UNC2034971	1	158.511564
UNC2035448	1	158.534842
UNC2035807	1	158.560019
UNC2036078	1	158.590547
UNC2036998	1	158.663689
JAX00273127	1	158.668718
UNC2040568	1	159.010098
UNC2040913	1	159.059606
UNC2041110	1	159.079042
UNC2041731	1	159.130098
UNC2042650	1	159.233104
JAX00011651	1	159.286391
UNC2043332	1	159.328489
UNC2043561	1	159.347729
UNC2044351	1	159.398915
UNC2046092	1	159.506927
backupUNC010326580	1	159.70496
JAX00273349	1	159.786083
UNC2049877	1	159.786265
UNC2050291	1	159.81778
UNC2050462	1	159.835806
JAX00273373	1	159.925968
UNC2051440	1	159.932529
UNC2052165	1	160.008008
UNC_rs32791096	1	160.147562
UNC2054057	1	160.153053
UNC010637850	1	160.645419
UNC2084970	1	163.311155
UNC2085343	1	163.336853
UNC2086604	1	163.437998
UNC2086653	1	163.44515
JAX00011963	1	163.451543
UNC2088343	1	163.55783
UNC2092706	1	163.944542
UNC2092923	1	163.96795
UNC2093253	1	164.002591
UNC2094177	1	164.065311
backupUNC012268343	1	164.074392
UNC2094840	1	164.11125
JAX00012018	1	164.183398
UNC2096203	1	164.20272
UNC2096757	1	164.24012
backupUNC012010690	1	164.287756
UNC2097425	1	164.295019
UNC2098492	1	164.371981
UNC2102791	1	164.662093
UNC2104102	1	164.762129
JAX00274379	1	164.762832
UNC2104482	1	164.784702
backupJAX00012065	1	164.815373
UNC2107583	1	164.969327
backupUNC012018069	1	165.083234
UNC2109067	1	165.08461
UNC2110288	1	165.151594
UNC2111325	1	165.212492
UNC2112424	1	165.308166
UNC2113779	1	165.438232
UNC2116636	1	165.67563
UNC2118065	1	165.777177
backuprs32565732	1	165.830794
UNC2119193	1	165.848945
UNC2122148	1	166.137112
UNC2122853	1	166.173512
JAX00274735	1	166.258837
JAX00012174	1	166.264882
UNC2125805	1	166.416605
UNC2126926	1	166.575315
UNC2128533	1	166.740897
UNC2128845	1	166.760073
JAX00012213	1	166.799244
UNC2130659	1	166.883278
UNC2131657	1	166.948093
JAX00274915	1	167.0982
UNC2134023	1	167.099752
JAX00012240	1	167.148678
UNC2135660	1	167.195778
UNC2136413	1	167.244454
UNC2137048	1	167.284399
UNC2137499	1	167.331141
UNC2139446	1	167.454276
UNC2140023	1	167.499477
UNC2140855	1	167.543355
JAX00012269	1	167.553763
JAX00275020	1	167.560015
UNC2142209	1	167.621775
UNC2145062	1	167.805954
UNC2145389	1	167.823479
UNC2147620	1	167.956207
UNC2148264	1	168.047234
UNC2148353	1	168.057744
UNC2148455	1	168.066717
UNC2149562	1	168.144357
backupUNC010333562	1	168.159128
UNC2149905	1	168.16408
JAX00275205	1	168.178773
UNC2150313	1	168.187334
UNC2150386	1	168.194439
UNC2150546	1	168.203556
UNC2150801	1	168.223188
UNC2151041	1	168.240332
UNC2151334	1	168.256988
UNC2151520	1	168.26669
UNC2151681	1	168.275871
UNC2152184	1	168.311057
UNC2152265	1	168.316658
UNC2152579	1	168.338901
UNC2152931	1	168.357214
UNC2153044	1	168.367126
UNC2153107	1	168.372115
UNC2153292	1	168.384517
UNC2153422	1	168.392424
UNC2153492	1	168.399887
JAX00012335	1	168.42863
UNC2153870	1	168.429312
UNC2153964	1	168.439233
UNC2154166	1	168.455618
UNC2154276	1	168.463281
JAX00012338	1	168.470588
UNC2154438	1	168.47423
UNC2154734	1	168.491469
UNC2154862	1	168.502544
UNC2154967	1	168.508049
UNC010337609	1	168.631066
JAX00012351	1	168.632843
UNC2157704	1	168.702194
JAX00012358	1	168.746933
UNC2159659	1	168.823563
JAX00275371	1	168.946077
UNC2161597	1	168.949931
UNC2162164	1	169.001375
UNC2164048	1	169.12617
JAX00275475	1	169.247225
UNC2165985	1	169.250939
CEAJAX00012397	1	169.250939
UNC2167386	1	169.344107
JAX00275522	1	169.416784
UNC2168801	1	169.424145
UNC2170834	1	169.539236
backupJAX00012423	1	169.586241
UNC2174742	1	169.77474
UNC2177126	1	169.912773
UNC2178186	1	169.969929
UNC2181072	1	170.161358
UNC2182851	1	170.280481
UNC2186279	1	170.479983
UNC2188237	1	170.593802
JAX00275914	1	170.64129
UNC2188846	1	170.642151
UNC2191344	1	170.850238
UNC2192408	1	170.907256
UNC2192846	1	170.936189
UNC2192979	1	170.952978
JAX00012525	1	170.960884
UNC2193346	1	170.974759
JAX00276009	1	170.988866
UNC2194161	1	171.019643
JAX00276023	1	171.020937
backupUNC010358913	1	171.034414
UNC2194425	1	171.039275
UNC2194885	1	171.086785
UNC2194980	1	171.094241
UNC2195301	1	171.11018
UNC2195556	1	171.129037
UNC2195707	1	171.138651
UNC2195900	1	171.158141
UNC2196251	1	171.195757
UNC2196967	1	171.251445
UNC2197142	1	171.269787
